                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73488,                0.87919,                  1.301,                 0.8258,                0.72947,                0.84637,                0.67275,                0.82673,                0.92882,                 1.3796,             0.00033081,             0.00033081,             0.00033081
                      2,                0.81592,                0.98145,                 1.3793,                0.77629,                0.69681,                0.80053,                0.59246,                0.99566,                 1.0908,                 1.5227,             0.00059839,             0.00059839,             0.00059839
                      3,                0.85441,                 1.0203,                 1.4018,                0.75421,                0.70757,                0.79013,                0.60614,                0.90043,                 1.0838,                 1.4458,             0.00079997,             0.00079997,             0.00079997
                      4,                 0.8235,                  1.011,                 1.3897,                0.69774,                 0.6209,                0.72228,                0.55466,                0.92582,                 1.2962,                 1.4674,               0.000703,               0.000703,               0.000703
                      5,                0.80264,                0.96987,                 1.3641,                0.82924,                0.75684,                 0.8526,                0.68362,                 0.8063,                0.90616,                 1.3482,               0.000604,               0.000604,               0.000604
                      6,                0.76107,                0.87319,                 1.3107,                0.85551,                 0.7804,                0.87546,                0.69976,                 0.8118,                0.84659,                 1.3352,               0.000505,               0.000505,               0.000505
                      7,                0.71827,                0.81344,                 1.2695,                0.87752,                0.77843,                0.88486,                0.71843,                0.77505,                0.82331,                 1.3038,               0.000406,               0.000406,               0.000406
